player_name,player_display_name,position,ros_projected_points,weeks_remaining,avg_weekly_projection,opponents,projected_points,last_week_played,last_season_played,avg_last_3_games,injury_status,injury_multiplier,overall_rank,position_rank
G.Pickens,George Pickens,WR,80.21356964111328,8,10.02669620513916,"LV,PHI,KC,DET,MIN,LAC,WAS,NYG",10.02669620513916,9.0,2025.0,19.6,,1.0,184,36.0
T.McKee,Tanner McKee,QB,80.20454406738281,8,10.025568008422852,"DET,DAL,CHI,LAC,LV,WAS,BUF,WAS",,,,,,,185,
B.Gabbert,Blaine Gabbert,QB,80.01192474365234,8,10.001490592956543,"DEN,IND,DAL,HOU,LAC,TEN,DEN,LV",,,,,,,186,
S.McCormick,Sincere McCormick,RB,79.95841979980469,8,9.994802474975586,"DAL,CLE,LAC,DEN,PHI,HOU,NYG,KC",,,,,,,187,
Z.Wilson,Zachary Wilson,QB,79.92158508300781,8,9.990198135375977,"WAS,BYE,NO,NYJ,PIT,CIN,TB,NE",,,,,,,188,
M.Gesicki,Michael Gesicki,TE,79.67473602294922,8,9.959342002868652,"PIT,NE,BAL,BUF,BAL,MIA,ARI,CLE",,,,,,,189,
J.Kearse,Jermaine Kearse,WR,79.51783752441406,8,9.939729690551758,"NE,BAL,ATL,MIA,JAX,NO,NE,BUF",,,,,,,190,
J.Garoppolo,James Garoppolo,QB,79.45673370361328,8,9.93209171295166,"SEA,TB,CAR,ARI,DET,SEA,ATL,ARI",,,,,,,191,
C.Watson,Christian Watson,WR,79.42683334350586,8,11.03150463104248,"NYG,MIN,DET,CHI,DEN,CHI,BAL,MIN",9.928354167938233,9.0,2025.0,4.933333333333333,Questionable,0.9,192,37.0
D.Schultz,Dalton Schultz,TE,79.2468032836914,8,9.905850410461426,"TEN,BUF,IND,KC,ARI,LV,LAC,IND",9.905850410461426,9.0,2025.0,11.4,,1.0,193,14.0
